Unnamed: 0,ESPtime,count,time,year,month,day,hour,minute,time_only
,,0,2026-04-22 12:40:11.088338563,2026,4,22,12:00,40,12:40
,,0,2026-04-22 12:40:24.098835498,2026,4,22,12:00,40,12:40
,,0,2026-04-22 12:43:23.709097829,2026,4,22,12:00,43,12:43
,,0,2026-04-22 12:43:51.099414934,2026,4,22,12:00,43,12:43
,,0,2026-04-22 12:43:56.329927572,2026,4,22,12:00,43,12:43
,,0,2026-04-22 12:44:18.273200964,2026,4,22,12:00,44,12:44
,,0,2026-04-22 12:44:51.072206684,2026,4,22,12:00,44,12:44
,,1,2026-04-22 12:44:55.838137952,2026,4,22,12:00,44,12:44
,,0,2026-04-22 12:46:39.715976832,2026,4,22,12:00,46,12:46
,,1,2026-04-22 12:47:03.975388733,2026,4,22,12:00,47,12:47
,,2,2026-04-22 12:48:02.765697459,2026,4,22,12:00,48,12:48
,,1,2026-04-22 12:48:07.127249373,2026,4,22,12:00,48,12:48
,,2,2026-04-22 12:48:30.274793845,2026,4,22,12:00,48,12:48
,,1,2026-04-22 12:48:42.220319970,2026,4,22,12:00,48,12:48
,,0,2026-04-22 12:48:45.435046432,2026,4,22,12:00,48,12:48
,,1,2026-04-22 12:50:13.412159049,2026,4,22,12:00,50,12:50
,,0,2026-04-22 12:54:07.012685923,2026,4,22,12:00,54,12:54
,,0,2026-04-22 12:54:24.499473398,2026,4,22,12:00,54,12:54
,,0,2026-04-22 12:54:31.040049359,2026,4,22,12:00,54,12:54
,,0,2026-04-22 12:54:37.126818280,2026,4,22,12:00,54,12:54
,,1,2026-04-22 12:55:01.740705161,2026,4,22,12:00,55,12:55
,,0,2026-04-22 12:55:13.372750558,2026,4,22,12:00,55,12:55
,,0,2026-04-22 12:55:27.903578687,2026,4,22,12:00,55,12:55
,,1,2026-04-22 12:55:44.702810285,2026,4,22,12:00,55,12:55
,,2,2026-04-22 12:56:00.945485733,2026,4,22,12:00,56,12:56
,,1,2026-04-22 12:56:05.178889768,2026,4,22,12:00,56,12:56
,,2,2026-04-22 12:56:09.779851124,2026,4,22,12:00,56,12:56
,,3,2026-04-22 12:57:12.920886650,2026,4,22,12:00,57,12:57
,,4,2026-04-22 12:57:16.818742937,2026,4,22,12:00,57,12:57
,,5,2026-04-22 12:57:19.858791695,2026,4,22,12:00,57,12:57
,,6,2026-04-22 12:57:30.655208548,2026,4,22,12:00,57,12:57
,,7,2026-04-22 12:57:59.629074132,2026,4,22,12:00,57,12:57
,,8,2026-04-22 12:58:02.412372044,2026,4,22,12:00,58,12:58
,,9,2026-04-22 12:58:12.350554587,2026,4,22,12:00,58,12:58
,,8,2026-04-22 12:58:16.822172303,2026,4,22,12:00,58,12:58
,,7,2026-04-22 12:58:19.703961258,2026,4,22,12:00,58,12:58
,,8,2026-04-22 12:58:23.322059898,2026,4,22,12:00,58,12:58
,,9,2026-04-22 12:58:35.386718134,2026,4,22,12:00,58,12:58
,,8,2026-04-22 12:58:41.769596298,2026,4,22,12:00,58,12:58
,,7,2026-04-22 12:59:11.250282068,2026,4,22,12:00,59,12:59
,,6,2026-04-22 12:59:14.893697768,2026,4,22,12:00,59,12:59
,,5,2026-04-22 12:59:31.595501423,2026,4,22,12:00,59,12:59
,,4,2026-04-22 13:01:02.593534003,2026,4,22,13:00,1,13:01
,,5,2026-04-22 13:01:05.946765827,2026,4,22,13:00,1,13:01
,,6,2026-04-22 13:01:41.598549852,2026,4,22,13:00,1,13:01
,,5,2026-04-22 13:02:22.157187752,2026,4,22,13:00,2,13:02
,,6,2026-04-22 13:02:55.895430833,2026,4,22,13:00,2,13:02
,,7,2026-04-22 13:03:33.458514499,2026,4,22,13:00,3,13:03
,,8,2026-04-22 13:03:47.646777990,2026,4,22,13:00,3,13:03
,,9,2026-04-22 13:04:01.385631874,2026,4,22,13:00,4,13:04
,,10,2026-04-22 13:04:34.897503612,2026,4,22,13:00,4,13:04
,,9,2026-04-22 13:04:40.371551216,2026,4,22,13:00,4,13:04
,,10,2026-04-22 13:04:48.531890056,2026,4,22,13:00,4,13:04
,,9,2026-04-22 13:04:52.052926816,2026,4,22,13:00,4,13:04
,,8,2026-04-22 13:04:54.510511998,2026,4,22,13:00,4,13:04
,,7,2026-04-22 13:04:57.888380562,2026,4,22,13:00,4,13:04
,,6,2026-04-22 13:05:00.257565078,2026,4,22,13:00,5,13:05
,,7,2026-04-22 13:06:28.820041944,2026,4,22,13:00,6,13:06
,,6,2026-04-22 13:10:57.712391144,2026,4,22,13:00,10,13:10
,,5,2026-04-22 13:10:59.596219071,2026,4,22,13:00,10,13:10
,,4,2026-04-22 13:11:08.206330903,2026,4,22,13:00,11,13:11
,,5,2026-04-22 13:11:10.749727351,2026,4,22,13:00,11,13:11
,,4,2026-04-22 13:11:12.895979900,2026,4,22,13:00,11,13:11
,,5,2026-04-22 13:11:44.853894393,2026,4,22,13:00,11,13:11
,,6,2026-04-22 13:12:04.528819439,2026,4,22,13:00,12,13:12
,,5,2026-04-22 13:12:28.678916346,2026,4,22,13:00,12,13:12
,,6,2026-04-22 13:14:17.744445902,2026,4,22,13:00,14,13:14
,,7,2026-04-22 13:15:38.908082502,2026,4,22,13:00,15,13:15
,,6,2026-04-22 13:17:26.912429866,2026,4,22,13:00,17,13:17
,,5,2026-04-22 13:18:47.661786078,2026,4,22,13:00,18,13:18
,,6,2026-04-22 13:19:42.718489532,2026,4,22,13:00,19,13:19
,,5,2026-04-22 13:27:13.375650752,2026,4,22,13:00,27,13:27
,,6,2026-04-22 13:31:00.123050310,2026,4,22,13:00,31,13:31
,,7,2026-04-22 13:31:02.765223237,2026,4,22,13:00,31,13:31
,,6,2026-04-22 13:31:09.135405092,2026,4,22,13:00,31,13:31
,,5,2026-04-22 13:31:21.842378740,2026,4,22,13:00,31,13:31
,,6,2026-04-22 13:31:34.816318518,2026,4,22,13:00,31,13:31
,,5,2026-04-22 13:32:10.255963309,2026,4,22,13:00,32,13:32
,,6,2026-04-22 13:32:20.416760847,2026,4,22,13:00,32,13:32
,,5,2026-04-22 13:32:32.038264299,2026,4,22,13:00,32,13:32
,,4,2026-04-22 13:34:00.625370334,2026,4,22,13:00,34,13:34
,,5,2026-04-22 13:38:14.103108103,2026,4,22,13:00,38,13:38
,,4,2026-04-22 13:39:04.851715926,2026,4,22,13:00,39,13:39
,,5,2026-04-22 13:39:41.202635706,2026,4,22,13:00,39,13:39
,,4,2026-04-22 13:40:31.415678855,2026,4,22,13:00,40,13:40
,,3,2026-04-22 13:43:27.815965130,2026,4,22,13:00,43,13:43
,,4,2026-04-22 13:43:43.059516763,2026,4,22,13:00,43,13:43
,,3,2026-04-22 13:44:28.900219257,2026,4,22,13:00,44,13:44
,,2,2026-04-22 13:46:14.515434035,2026,4,22,13:00,46,13:46
,,3,2026-04-22 13:46:24.586582980,2026,4,22,13:00,46,13:46
,,2,2026-04-22 13:46:31.923290342,2026,4,22,13:00,46,13:46
,,3,2026-04-22 13:48:06.793440148,2026,4,22,13:00,48,13:48
,,2,2026-04-22 13:59:04.692435957,2026,4,22,13:00,59,13:59
,,1,2026-04-22 14:00:00.310361225,2026,4,22,14:00,0,14:00
,,2,2026-04-22 14:00:05.793507002,2026,4,22,14:00,0,14:00
,,3,2026-04-22 14:06:24.406829592,2026,4,22,14:00,6,14:06
,,2,2026-04-22 14:08:42.371740092,2026,4,22,14:00,8,14:08
,,1,2026-04-22 14:08:56.794695104,2026,4,22,14:00,8,14:08
,,2,2026-04-22 14:09:05.098347882,2026,4,22,14:00,9,14:09
,,3,2026-04-22 14:09:53.584528004,2026,4,22,14:00,9,14:09
,,2,2026-04-22 14:10:56.039168073,2026,4,22,14:00,10,14:10
,,3,2026-04-22 14:11:58.804000782,2026,4,22,14:00,11,14:11
,,2,2026-04-22 14:34:51.002795583,2026,4,22,14:00,34,14:34
,,3,2026-04-22 14:35:01.100515411,2026,4,22,14:00,35,14:35
,,2,2026-04-22 14:37:54.196630262,2026,4,22,14:00,37,14:37
,,3,2026-04-22 14:38:24.388525794,2026,4,22,14:00,38,14:38
,,4,2026-04-22 14:39:26.050964871,2026,4,22,14:00,39,14:39
,,3,2026-04-22 14:40:07.304070383,2026,4,22,14:00,40,14:40
,,2,2026-04-22 14:40:50.058277864,2026,4,22,14:00,40,14:40
,,1,2026-04-22 14:41:10.813312290,2026,4,22,14:00,41,14:41
,,2,2026-04-22 14:41:24.702338908,2026,4,22,14:00,41,14:41
,,1,2026-04-22 14:41:36.921757807,2026,4,22,14:00,41,14:41
,,2,2026-04-22 14:41:43.476830208,2026,4,22,14:00,41,14:41
,,3,2026-04-22 14:41:48.485279198,2026,4,22,14:00,41,14:41
,,2,2026-04-22 14:42:16.821235974,2026,4,22,14:00,42,14:42
,,3,2026-04-22 14:43:10.369184218,2026,4,22,14:00,43,14:43
,,2,2026-04-22 14:43:26.093035060,2026,4,22,14:00,43,14:43
,,1,2026-04-22 14:43:31.948415335,2026,4,22,14:00,43,14:43
,,0,2026-04-22 14:43:47.102335754,2026,4,22,14:00,43,14:43
,,1,2026-04-22 14:45:29.105357018,2026,4,22,14:00,45,14:45
,,2,2026-04-22 14:45:47.131224410,2026,4,22,14:00,45,14:45
,,1,2026-04-22 14:45:55.533463318,2026,4,22,14:00,45,14:45
,,0,2026-04-22 14:45:57.436509285,2026,4,22,14:00,45,14:45
,,1,2026-04-22 14:45:59.773191785,2026,4,22,14:00,45,14:45
,,0,2026-04-22 14:46:04.175152966,2026,4,22,14:00,46,14:46
,,1,2026-04-22 14:49:24.598056827,2026,4,22,14:00,49,14:49
,,2,2026-04-22 14:49:27.336702537,2026,4,22,14:00,49,14:49
,,1,2026-04-22 14:52:52.847969769,2026,4,22,14:00,52,14:52
,,2,2026-04-22 14:53:06.686133912,2026,4,22,14:00,53,14:53
,,1,2026-04-22 14:54:30.339029963,2026,4,22,14:00,54,14:54
,,0,2026-04-22 14:54:38.994954424,2026,4,22,14:00,54,14:54
,,0,2026-04-22 14:55:20.372306902,2026,4,22,14:00,55,14:55
,,1,2026-04-22 14:56:34.268854092,2026,4,22,14:00,56,14:56
,,0,2026-04-22 14:57:55.684692692,2026,4,22,14:00,57,14:57
,,0,2026-04-22 14:58:27.301454318,2026,4,22,14:00,58,14:58
,,0,2026-04-22 14:59:21.964844107,2026,4,22,14:00,59,14:59
,,1,2026-04-22 15:15:58.434842327,2026,4,22,15:00,15,15:15
,,0,2026-04-22 15:17:44.932090297,2026,4,22,15:00,17,15:17
,,1,2026-04-22 17:02:30.658250060,2026,4,22,17:00,2,17:02
,,0,2026-04-22 17:02:49.388612408,2026,4,22,17:00,2,17:02
,,1,2026-04-22 17:04:21.431993484,2026,4,22,17:00,4,17:04
,,2,2026-04-22 17:05:13.158178685,2026,4,22,17:00,5,17:05
,,3,2026-04-22 17:14:31.391951835,2026,4,22,17:00,14,17:14
,,2,2026-04-22 17:15:31.429708764,2026,4,22,17:00,15,17:15
,,3,2026-04-22 17:16:55.506186437,2026,4,22,17:00,16,17:16
,,4,2026-04-22 17:17:54.539246931,2026,4,22,17:00,17,17:17
,,3,2026-04-22 17:20:00.080798077,2026,4,22,17:00,20,17:20
,,2,2026-04-22 17:20:08.690373933,2026,4,22,17:00,20,17:20
,,1,2026-04-22 17:20:10.602258480,2026,4,22,17:00,20,17:20
,,0,2026-04-22 17:20:13.017683267,2026,4,22,17:00,20,17:20
,,1,2026-04-22 17:20:14.907859877,2026,4,22,17:00,20,17:20
,,2,2026-04-22 17:25:10.616720078,2026,4,22,17:00,25,17:25
,,3,2026-04-22 17:25:17.547261420,2026,4,22,17:00,25,17:25
,,4,2026-04-22 17:25:20.510726327,2026,4,22,17:00,25,17:25
